[2025-04-08T17:24:59.010Z] GET /ws | User: Anonymous
[2025-04-08T17:25:02.017Z] GET /ws | User: Anonymous
[2025-04-08T17:25:07.006Z] GET /ws | User: Anonymous
[2025-04-08T17:25:16.009Z] GET /ws | User: Anonymous
[2025-04-08T17:25:39.135Z] POST /auth/register | User: Anonymous
[2025-04-08T17:26:54.462Z] POST /api/auth/register | User: Anonymous
[2025-04-08T17:31:31.251Z] POST /api/auth/register | User: Anonymous
[2025-04-08T17:31:38.412Z] POST /api/auth/login | User: Anonymous
[2025-04-08T17:31:38.520Z] GET /api/admin/users | User: Anonymous
[2025-04-08T17:31:38.528Z] GET /api/admin/unused-api-keys | User: Anonymous
[2025-04-08T17:31:38.678Z] GET /api/admin/users | User: Anonymous
[2025-04-08T17:31:38.681Z] GET /api/admin/unused-api-keys | User: Anonymous
[2025-04-08T17:32:14.519Z] POST /api/auth/login | User: Anonymous
[2025-04-08T17:32:14.607Z] GET /api/admin/users | User: Anonymous
[2025-04-08T17:32:14.610Z] GET /api/admin/unused-api-keys | User: Anonymous
[2025-04-08T17:32:14.750Z] GET /api/admin/users | User: Anonymous
[2025-04-08T17:32:14.753Z] GET /api/admin/unused-api-keys | User: Anonymous
[2025-04-08T18:36:35.206Z] POST /api/auth/login | User: Anonymous
[2025-04-08T18:36:35.296Z] GET /api/admin/users | User: Anonymous
[2025-04-08T18:36:35.306Z] GET /api/admin/unused-api-keys | User: Anonymous
[2025-04-08T18:36:35.924Z] GET /api/admin/users | User: Anonymous
[2025-04-08T18:36:35.927Z] GET /api/admin/unused-api-keys | User: Anonymous
[2025-04-08T18:37:17.948Z] POST /api/auth/register | User: Anonymous
[2025-04-08T18:37:22.280Z] POST /api/auth/login | User: Anonymous
[2025-04-08T18:37:22.367Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T18:37:22.549Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T18:38:58.186Z] POST /api/auth/generate-api-key | User: Anonymous
[2025-04-08T18:39:06.018Z] GET /api/countries/Sri%20Lanka | User: Anonymous
[2025-04-08T18:40:47.480Z] GET /api/countries/Sri%20Lanka | User: Anonymous
[2025-04-08T18:41:57.133Z] GET /countries/Sri%20Lanka | User: Anonymous
[2025-04-08T18:42:00.268Z] GET /countries/Sri%20Lanka | User: Anonymous
[2025-04-08T18:42:02.438Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T18:42:02.447Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T18:42:09.428Z] GET /countries/Sri%20Lanka | User: Anonymous
[2025-04-08T18:45:17.276Z] GET /api/countries/Sri%20Lanka | User: Anonymous
[2025-04-08T18:45:46.931Z] GET /api/countries/SriLanka | User: Anonymous
[2025-04-08T18:46:05.521Z] GET /api/countries/india | User: Anonymous
[2025-04-08T18:47:37.709Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T18:47:37.740Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T18:47:42.151Z] GET /api/countries/Sri%20Lanka | User: Anonymous
[2025-04-08T18:47:46.741Z] GET /api/countries/SriLanka | User: Anonymous
[2025-04-08T18:48:19.312Z] GET /api/countries/SriLanka | User: Anonymous
[2025-04-08T18:49:49.910Z] GET /api/countries/india | User: Anonymous
[2025-04-08T18:56:25.954Z] GET /api/countries/india | User: Anonymous
[2025-04-08T19:02:26.086Z] GET /api/countries/india | User: Anonymous
[2025-04-08T19:07:40.826Z] GET /api/countries/india | User: Anonymous
[2025-04-08T19:07:58.333Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T19:07:58.376Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T19:08:02.348Z] GET /api/countries/Sri%20Lanka | User: Anonymous
[2025-04-08T19:08:06.617Z] DELETE /api/auth/delete-api-key/a37d5f626a9f3e1e184e9bf80dee29ef | User: Anonymous
[2025-04-08T19:08:10.298Z] POST /api/auth/generate-api-key | User: Anonymous
[2025-04-08T19:08:15.724Z] GET /api/countries/Sri%20Lanka | User: Anonymous
[2025-04-08T19:11:38.094Z] GET /api/countries/Sri%20Lanka | User: Anonymous
[2025-04-08T19:12:05.353Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T19:12:05.368Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T19:12:12.109Z] GET /api/countries/Sri%20Lanka | User: Anonymous
[2025-04-08T19:14:00.685Z] POST /api/auth/login | User: Anonymous
[2025-04-08T19:14:00.867Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T19:14:01.235Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T19:14:14.029Z] GET /api/countries/india | User: Anonymous
[2025-04-08T21:11:00.360Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T21:11:00.386Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T21:11:08.794Z] POST /api/auth/generate-api-key | User: Anonymous
[2025-04-08T21:11:11.546Z] POST /api/auth/generate-api-key | User: Anonymous
[2025-04-08T21:13:56.581Z] POST /api/auth/login | User: Anonymous
[2025-04-08T21:13:56.716Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T21:13:56.825Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T21:14:12.735Z] POST /api/auth/login | User: Anonymous
[2025-04-08T21:14:12.835Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T21:14:12.967Z] GET /api/auth/get-api-keys | User: Anonymous
[2025-04-08T21:14:21.568Z] GET /api/countries/japan | User: Anonymous
[2025-04-08T21:17:24.760Z] POST /api/auth/generate-api-key | User: Anonymous
[2025-04-08T21:17:31.408Z] DELETE /api/auth/delete-api-key/c1fd8affde300780f202c679564a3ef1 | User: Anonymous
[2025-04-08T21:17:42.591Z] POST /api/auth/generate-api-key | User: Anonymous
[2025-04-08T21:18:11.909Z] POST /api/auth/login | User: Anonymous
[2025-04-08T21:18:12.027Z] GET /api/admin/users | User: Anonymous
[2025-04-08T21:18:12.032Z] GET /api/admin/unused-api-keys | User: Anonymous
[2025-04-08T21:18:12.453Z] GET /api/admin/users | User: Anonymous
[2025-04-08T21:18:12.457Z] GET /api/admin/unused-api-keys | User: Anonymous
[2025-04-08T21:18:12.467Z] POST /api/admin/api-key-owners | User: Anonymous
[2025-04-08T21:18:12.479Z] POST /api/admin/api-key-owners | User: Anonymous
